domain,total_incoming_sizes,total_number_packets,no_outgoing_packets,no_incoming_packets,ratio_incoming_to_outgoing,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
example.com,1379,10,5,5,1.0,74,-74,66,289,-66,-1107,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1490,13,7,6,0.8571428571428571,74,-74,66,289,-66,-1113,66,-66,66,-66,105,-105,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1384,10,5,5,1.0,74,-74,66,289,-66,-1112,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1384,10,5,5,1.0,74,-74,66,289,-66,-1112,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1379,10,5,5,1.0,74,-74,66,289,-66,-1107,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1596,16,9,7,0.7777777777777778,74,-74,66,289,-66,-1107,66,-66,66,-66,105,-105,66,112,-112,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1362,10,5,5,1.0,74,-74,66,289,-66,-1090,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1511,15,8,7,0.875,74,-74,66,289,-66,-1107,66,-66,66,-66,112,97,-66,-66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1385,10,5,5,1.0,74,-74,66,289,-66,-1113,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1385,10,5,5,1.0,74,-74,66,289,-66,-1113,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1695,16,7,9,1.2857142857142858,74,-74,66,289,-66,-1107,66,-66,66,-66,-92,96,-66,-92,96,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1362,10,5,5,1.0,74,-74,66,289,-66,-1090,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1379,10,5,5,1.0,74,-74,66,289,-66,-1107,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1379,10,5,5,1.0,74,-74,66,289,-66,-1107,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1362,10,5,5,1.0,74,-74,66,289,-66,-1090,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1362,10,5,5,1.0,74,-74,66,289,-66,-1090,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1695,17,8,9,1.125,74,-74,66,289,-66,-1107,66,-66,-66,78,66,-66,-92,-92,78,96,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1384,10,5,5,1.0,74,-74,66,289,-66,-1112,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example.com,1385,10,5,5,1.0,74,-74,66,289,-66,-1113,66,-66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google.com,4475,23,12,11,0.9166666666666666,74,-74,66,288,-66,-798,66,-66,66,-66,74,-74,66,292,-66,-2866,66,-267,66,-66,66,66,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
